latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-28.411,149.857,312.3,1.2,1.1,2015-04-10, 0000,T,53,5.0       ,298.1,9.7
-32.018,147.841,330.7,1.4,1.2,2015-04-10, 0000,T,83,5.0       ,296.8,47.3
-32.023,147.834,318.2,1.4,1.2,2015-04-10, 0000,T,69,5.0       ,296.5,21.4
-32.227,147.91,322.7,1.3,1.1,2015-04-10, 0000,T,76,5.0       ,297.6,30
-32.232,147.902,316,1.3,1.1,2015-04-10, 0000,T,38,5.0       ,297.7,17.3
-32.378,146.771,313.4,1.5,1.2,2015-04-10, 0000,T,58,5.0       ,297.3,18.3
-32.381,146.787,314.9,1.5,1.2,2015-04-10, 0000,T,62,5.0       ,297.8,20.5
-32.381,146.781,317.1,1.5,1.2,2015-04-10, 0000,T,55,5.0       ,297.7,23.8
-33.832,147.396,316,1.3,1.1,2015-04-10, 0000,T,65,5.0       ,293.2,24.3
-34.036,146.019,314.2,1.6,1.2,2015-04-10, 0000,T,60,5.0       ,293.2,24.4
-35.496,146.35,313,1.4,1.2,2015-04-10, 0000,T,56,5.0       ,296,15.9
-35.661,146.442,314,1.4,1.2,2015-04-10, 0000,T,60,5.0       ,296.8,15.4
-35.664,146.458,310.4,1.4,1.2,2015-04-10, 0000,T,37,5.0       ,295.9,9.8
-35.668,146.451,313.7,1.4,1.2,2015-04-10, 0000,T,51,5.0       ,296.3,14.4
-36.008,144.565,310.5,1.7,1.3,2015-04-10, 0000,T,39,5.0       ,290.7,25.2
-9.331,-35.449,322.8,1.6,1.2,2015-04-10, 0035,T,100,5.0       ,295.7,49.7
-9.333,-35.464,305.4,1.6,1.2,2015-04-10, 0035,T,29,5.0       ,294.7,14.6
-8.636,-35.204,306.4,1.5,1.2,2015-04-10, 0035,T,45,5.0       ,294.2,15.4
-8.637,-35.218,321.9,1.5,1.2,2015-04-10, 0035,T,100,5.0       ,294.6,45
17.891,19.026,334.8,1.4,1.2,2015-04-10, 0015,A,100,5.0       ,292.9,72.5
15.043,20.266,308.6,1.1,1,2015-04-10, 0015,A,22,5.0       ,297.2,10.5
12.107,21.848,321.6,1,1,2015-04-10, 0015,A,100,5.0       ,299.7,21.5
12.098,21.847,329.7,1,1,2015-04-10, 0015,A,100,5.0       ,300.7,33.1
12.087,21.802,312,1,1,2015-04-10, 0015,A,63,5.0       ,298.4,11.9
10.358,20.902,305.9,1,1,2015-04-10, 0015,A,39,5.0       ,293.2,9.4
9.719,21.546,313.7,1,1,2015-04-10, 0015,A,83,5.0       ,287.1,19.9
10.735,14.12,305.4,2.5,1.5,2015-04-10, 0015,A,14,5.0       ,291,27.8
9.027,24.744,309.9,1.4,1.2,2015-04-10, 0015,A,69,5.0       ,293.3,21.4
9.006,24.74,313.2,1.4,1.2,2015-04-10, 0015,A,81,5.0       ,292,26.4
