latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-15.125,130.306,328,2.5,1.5,2015-04-30, 01:10,T,63,5.0       ,301.2,90.7
16.772,-98.356,324.2,1.5,1.2,2015-04-30, 17:30,T,56,5.0       ,299.7,19.8
16.866,-98.855,315.5,1.4,1.2,2015-04-30, 17:30,T,27,5.0       ,294.5,17.2
16.887,-98.98,317,1.3,1.1,2015-04-30, 17:30,T,46,5.0       ,299.1,13.6
16.266,-95.341,325.2,2.5,1.5,2015-04-30, 17:30,T,55,5.0       ,292.7,73.3
16.757,-98.072,320.4,1.5,1.2,2015-04-30, 17:30,T,66,5.0       ,299.7,18
16.813,-98.406,319.9,1.5,1.2,2015-04-30, 17:30,T,54,5.0       ,299.2,13.7
16.744,-97.928,323.3,1.6,1.2,2015-04-30, 17:30,T,76,5.0       ,293.8,36.7
16.845,-98.468,319.7,1.4,1.2,2015-04-30, 17:30,T,48,5.0       ,300.4,12.3
16.999,-99.348,328.2,1.3,1.1,2015-04-30, 17:30,T,55,5.0       ,306.8,23.1
17.123,-100.103,324.1,1.2,1.1,2015-04-30, 17:30,T,43,5.0       ,305.5,12.1
17.172,-100.106,330.8,1.2,1.1,2015-04-30, 17:30,T,77,5.0       ,305.2,25.1
17.23,-100.471,337.5,1.1,1,2015-04-30, 17:30,T,88,5.0       ,306.6,33.6
17.316,-101.022,320.9,1.1,1,2015-04-30, 17:30,T,43,5.0       ,305.2,9.1
17.183,-100.115,329.1,1.1,1.1,2015-04-30, 17:30,T,75,5.0       ,308.1,18.8
17.185,-100.126,326.1,1.1,1.1,2015-04-30, 17:30,T,74,5.0       ,305.9,13.3
17.201,-100.167,330.4,1.1,1.1,2015-04-30, 17:30,T,83,5.0       ,305.7,23.2
17.229,-100.282,325.9,1.1,1.1,2015-04-30, 17:30,T,79,5.0       ,303,25.8
17.231,-100.292,319.2,1.1,1.1,2015-04-30, 17:30,T,64,5.0       ,302.4,15.3
17.142,-99.657,326.9,1.2,1.1,2015-04-30, 17:30,T,71,5.0       ,306.7,17.8
17.333,-100.841,324.3,1.1,1,2015-04-30, 17:30,T,54,5.0       ,305.6,9.5
17.098,-99.324,385.8,1.3,1.1,2015-04-30, 17:30,T,94,5.0       ,300.7,245.9
17.154,-99.668,327.9,1.2,1.1,2015-04-30, 17:30,T,77,5.0       ,305.6,20.2
17.156,-99.68,346.4,1.2,1.1,2015-04-30, 17:30,T,93,5.0       ,304.8,65.3
17.341,-100.83,323.8,1.1,1,2015-04-30, 17:30,T,59,5.0       ,306.3,9.7
17.342,-100.84,336.5,1.1,1,2015-04-30, 17:30,T,88,5.0       ,306.7,29.3
16.923,-98.222,352.2,1.5,1.2,2015-04-30, 17:30,T,96,5.0       ,298.2,123.6
16.925,-98.234,348.1,1.5,1.2,2015-04-30, 17:30,T,94,5.0       ,298.6,105.5
16.941,-98.331,313.8,1.5,1.2,2015-04-30, 17:30,T,27,5.0       ,297.3,11.9
16.955,-98.409,318.7,1.5,1.2,2015-04-30, 17:30,T,70,5.0       ,299.5,15
17.399,-101.082,335.1,1,1,2015-04-30, 17:30,T,87,5.0       ,305.4,28.6
