latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-27.242,149.512,312.1,1.7,1.3,2015-05-06, 00:35,T,53,5.0       ,299.3,16.8
17.102,-90.748,334,1.2,1.1,2015-05-06, 16:50,T,86,5.0       ,305.8,33.8
17.299,-91.988,332.2,1,1,2015-05-06, 16:50,T,85,5.0       ,300,27.7
17.3,-91.997,335.7,1,1,2015-05-06, 16:50,T,85,5.0       ,300,33
17.301,-92.007,335.9,1,1,2015-05-06, 16:50,T,72,5.0       ,300.1,34.5
17.341,-92.265,328.6,1,1,2015-05-06, 16:50,T,62,5.0       ,303.8,20.1
17.06,-90.428,327.6,1.2,1.1,2015-05-06, 16:50,T,81,5.0       ,306,21.1
17.274,-91.772,327.3,1.1,1,2015-05-06, 16:50,T,77,5.0       ,303,21.1
17.33,-92.13,318.1,1,1,2015-05-06, 16:50,T,53,5.0       ,301.4,9.7
17.35,-92.263,322.2,1,1,2015-05-06, 16:50,T,75,5.0       ,305.1,13
17.352,-92.273,323.5,1,1,2015-05-06, 16:50,T,77,5.0       ,304.3,15.1
17,-89.999,332.1,1.3,1.1,2015-05-06, 16:50,T,84,5.0       ,305.3,37.2
17.002,-90.011,328.1,1.3,1.1,2015-05-06, 16:50,T,81,5.0       ,304.6,28
17.256,-91.593,317.5,1.1,1,2015-05-06, 16:50,T,61,5.0       ,302.4,9.3
17.288,-91.8,372.3,1.1,1,2015-05-06, 16:50,T,100,5.0       ,303.6,133.6
17.29,-91.81,362.2,1.1,1,2015-05-06, 16:50,T,100,5.0       ,302.8,99.9
17.296,-91.849,323.2,1.1,1,2015-05-06, 16:50,T,76,5.0       ,301.1,16.8
17.303,-91.897,351.3,1,1,2015-05-06, 16:50,T,96,5.0       ,302.5,67.5
17.081,-90.436,331.1,1.2,1.1,2015-05-06, 16:50,T,84,5.0       ,305.4,26.1
15.51,-89.931,321.6,1.4,1.2,2015-05-06, 16:50,T,74,5.0       ,302.6,24.3
15.596,-90.452,318.8,1.3,1.1,2015-05-06, 16:50,T,70,5.0       ,299.9,18.1
15.142,-87.702,316.8,2,1.4,2015-05-06, 16:50,T,52,5.0       ,296.4,28
15.151,-87.752,325.1,2,1.4,2015-05-06, 16:50,T,78,5.0       ,299.8,45.8
15.554,-90.067,315.6,1.3,1.1,2015-05-06, 16:50,T,55,5.0       ,303.4,13.5
15.619,-90.471,315.7,1.3,1.1,2015-05-06, 16:50,T,35,5.0       ,301.2,11.6
15.621,-90.482,313.8,1.3,1.1,2015-05-06, 16:50,T,45,5.0       ,301.3,9.4
15.896,-92.227,348.6,1,1,2015-05-06, 16:50,T,94,5.0       ,307.1,58.5
15.461,-89.442,315.2,1.5,1.2,2015-05-06, 16:50,T,26,5.0       ,300.4,13.9
15.508,-89.724,311.3,1.4,1.2,2015-05-06, 16:50,T,48,5.0       ,298.8,13
