latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-21.286,140.839,335.4,1.5,1.2,2015-02-25, 01:10,T,87,5.0       ,304.3,38.7
13.168,-10.768,334.3,1.2,1.1,2015-02-25, 14:00,A,44,5.0       ,319.2,19.3
12.462,-15.07,328.3,2.5,1.5,2015-02-25, 14:00,A,81,5.0       ,308.5,65.4
12.466,-15.048,335.7,2.5,1.5,2015-02-25, 14:00,A,87,5.0       ,309,112.5
13.113,-11.06,330,1.3,1.1,2015-02-25, 14:00,A,83,5.0       ,314.6,13.8
13.114,-11.049,331.2,1.3,1.1,2015-02-25, 14:00,A,84,5.0       ,315.5,16.6
13.158,-10.766,333,1.2,1.1,2015-02-25, 14:00,A,36,5.0       ,318.8,17.1
13.429,-8.963,337.4,1,1,2015-02-25, 14:00,A,88,5.0       ,319.8,20
12.566,-14.377,330.3,2.2,1.5,2015-02-25, 14:00,A,82,5.0       ,313.1,48.4
12.569,-14.357,327.5,2.2,1.4,2015-02-25, 14:00,A,65,5.0       ,313.3,34.3
13.024,-11.564,335.1,1.4,1.2,2015-02-25, 14:00,A,82,5.0       ,316.9,23.3
13.026,-11.551,334.1,1.4,1.2,2015-02-25, 14:00,A,84,5.0       ,316.5,20.3
13.421,-8.952,341.4,1,1,2015-02-25, 14:00,A,91,5.0       ,319.5,26.6
12.553,-14.375,327.4,2.2,1.5,2015-02-25, 14:00,A,59,5.0       ,312.4,33.7
12.557,-14.354,328,2.2,1.4,2015-02-25, 14:00,A,58,5.0       ,314.1,36.6
12.361,-15.245,321.5,2.6,1.6,2015-02-25, 14:00,A,74,5.0       ,306.6,39
12.579,-13.918,328.7,2.1,1.4,2015-02-25, 14:00,A,82,5.0       ,313.7,34.1
12.582,-13.9,333.2,2.1,1.4,2015-02-25, 14:00,A,85,5.0       ,313.1,50.5
12.99,-11.444,335.6,1.3,1.2,2015-02-25, 14:00,A,87,5.0       ,318.9,23.7
12.962,-11.553,330.8,1.4,1.2,2015-02-25, 14:00,A,82,5.0       ,316.6,15
12.578,-13.913,333.7,2.1,1.4,2015-02-25, 14:00,A,86,5.0       ,313.6,54
12.581,-13.894,328.6,2.1,1.4,2015-02-25, 14:00,A,73,5.0       ,313,28.5
12.956,-11.547,332.2,1.4,1.2,2015-02-25, 14:00,A,82,5.0       ,316.9,17.3
12.541,-13.906,326.7,2.1,1.4,2015-02-25, 14:00,A,77,5.0       ,311.1,29.6
12.556,-13.739,327,2,1.4,2015-02-25, 14:00,A,63,5.0       ,312.5,24.3
12.285,-15.081,321.9,2.6,1.5,2015-02-25, 14:00,A,64,5.0       ,308.1,30.1
12.278,-15.072,323,2.6,1.5,2015-02-25, 14:00,A,73,5.0       ,309.1,33.9
13.068,-10.146,337.8,1.1,1.1,2015-02-25, 14:00,A,88,5.0       ,319.8,20
12.3,-14.865,321.4,2.5,1.5,2015-02-25, 14:00,A,65,5.0       ,308.1,27.8
12.47,-13.698,324.2,2,1.4,2015-02-25, 14:00,A,77,5.0       ,309.7,20.7
12.212,-14.966,329.2,2.5,1.5,2015-02-25, 14:00,A,82,5.0       ,308,68.1
12.22,-14.962,323,2.5,1.5,2015-02-25, 14:00,A,32,5.0       ,307.8,32.4
12.206,-14.96,325.2,2.5,1.5,2015-02-25, 14:00,A,71,5.0       ,306.7,47.7
12.572,-12.524,331.6,1.6,1.3,2015-02-25, 14:00,A,70,5.0       ,314.8,20.8
12.904,-10.012,341.1,1.1,1.1,2015-02-25, 14:00,A,90,5.0       ,318.9,30.3
